index,file,func_name,func_doc
1,flask\examples\tutorial\flaskr\auth.py,login_required,View decorator that redirects anonymous users to the login page.
2,flask\examples\tutorial\flaskr\auth.py,load_logged_in_user,"If a user id is stored in the session, load the user object from
    the database into ``g.user``."
3,flask\examples\tutorial\flaskr\auth.py,register,"Register a new user.

    Validates that the username is not already taken. Hashes the
    password for security.
    "
4,flask\examples\tutorial\flaskr\auth.py,login,Log in a registered user by adding the user id to the session.
5,flask\examples\tutorial\flaskr\auth.py,logout,"Clear the current session, including the stored user id."
6,flask\examples\tutorial\flaskr\blog.py,index,"Show all the posts, most recent first."
7,flask\examples\tutorial\flaskr\blog.py,get_post,"Get a post and its author by id.

    Checks that the id exists and optionally that the current user is
    the author.

    :param id: id of post to get
    :param check_author: require the current user to be the author
    :return: the post with author information
    :raise 404: if a post with the given id doesn't exist
    :raise 403: if the current user isn't the author
    "
8,flask\examples\tutorial\flaskr\blog.py,create,Create a new post for the current user.
9,flask\examples\tutorial\flaskr\blog.py,update,Update a post if the current user is the author.
10,flask\examples\tutorial\flaskr\blog.py,delete,"Delete a post.

    Ensures that the post exists and that the logged in user is the
    author of the post.
    "
11,flask\examples\tutorial\flaskr\db.py,get_db,"Connect to the application's configured database. The connection
    is unique for each request and will be reused if this is called
    again.
    "
12,flask\examples\tutorial\flaskr\db.py,close_db,"If this request connected to the database, close the
    connection.
    "
13,flask\examples\tutorial\flaskr\db.py,init_db,Clear existing data and create new tables.
14,flask\examples\tutorial\flaskr\db.py,init_db_command,Clear existing data and create new tables.
15,flask\examples\tutorial\flaskr\db.py,init_app,"Register database functions with the Flask app. This is called by
    the application factory.
    "
16,flask\examples\tutorial\flaskr\__init__.py,create_app,Create and configure an instance of the Flask application.
17,flask\examples\tutorial\tests\conftest.py,app,Create and configure a new app instance for each test.
18,flask\examples\tutorial\tests\conftest.py,client,A test client for the app.
19,flask\examples\tutorial\tests\conftest.py,runner,A test runner for the app's Click commands.
20,flask\examples\tutorial\tests\test_factory.py,test_config,Test create_app without passing test config.
21,flask\flask\app.py,setupmethod,"Wraps a method so that it performs a check in debug mode if the
    first request was already handled.
    "
22,flask\flask\app.py,name,"The name of the application.  This is usually the import name
        with the difference that it's guessed from the run file if the
        import name is main.  This name is used as a display name when
        Flask needs the name of the application.  It can be set and overridden
        to change the value.

        .. versionadded:: 0.8
        "
23,flask\flask\app.py,propagate_exceptions,"Returns the value of the ``PROPAGATE_EXCEPTIONS`` configuration
        value in case it's set, otherwise a sensible default is returned.

        .. versionadded:: 0.7
        "
24,flask\flask\app.py,preserve_context_on_exception,"Returns the value of the ``PRESERVE_CONTEXT_ON_EXCEPTION``
        configuration value in case it's set, otherwise a sensible default
        is returned.

        .. versionadded:: 0.7
        "
25,flask\flask\app.py,logger,"The ``'flask.app'`` logger, a standard Python
        :class:`~logging.Logger`.

        In debug mode, the logger's :attr:`~logging.Logger.level` will be set
        to :data:`~logging.DEBUG`.

        If there are no handlers configured, a default handler will be added.
        See :ref:`logging` for more information.

        .. versionchanged:: 1.0
            Behavior was simplified. The logger is always named
            ``flask.app``. The level is only set during configuration, it
            doesn't check ``app.debug`` each time. Only one format is used,
            not different ones depending on ``app.debug``. No handlers are
            removed, and a handler is only added if no handlers are already
            configured.

        .. versionadded:: 0.3
        "
26,flask\flask\app.py,jinja_env,The Jinja2 environment used to load templates.
27,flask\flask\app.py,got_first_request,"This attribute is set to ``True`` if the application started
        handling the first request.

        .. versionadded:: 0.8
        "
28,flask\flask\app.py,make_config,"Used to create the config attribute by the Flask constructor.
        The `instance_relative` parameter is passed in from the constructor
        of Flask (there named `instance_relative_config`) and indicates if
        the config should be relative to the instance path or the root path
        of the application.

        .. versionadded:: 0.8
        "
29,flask\flask\app.py,auto_find_instance_path,"Tries to locate the instance path if it was not provided to the
        constructor of the application class.  It will basically calculate
        the path to a folder named ``instance`` next to your main file or
        the package.

        .. versionadded:: 0.8
        "
30,flask\flask\app.py,open_instance_resource,"Opens a resource from the application's instance folder
        (:attr:`instance_path`).  Otherwise works like
        :meth:`open_resource`.  Instance resources can also be opened for
        writing.

        :param resource: the name of the resource.  To access resources within
                         subfolders use forward slashes as separator.
        :param mode: resource file opening mode, default is 'rb'.
        "
31,flask\flask\app.py,_get_templates_auto_reload,"Reload templates when they are changed. Used by
        :meth:`create_jinja_environment`.

        This attribute can be configured with :data:`TEMPLATES_AUTO_RELOAD`. If
        not set, it will be enabled in debug mode.

        .. versionadded:: 1.0
            This property was added but the underlying config and behavior
            already existed.
        "
32,flask\flask\app.py,create_jinja_environment,"Creates the Jinja2 environment based on :attr:`jinja_options`
        and :meth:`select_jinja_autoescape`.  Since 0.7 this also adds
        the Jinja2 globals and filters after initialization.  Override
        this function to customize the behavior.

        .. versionadded:: 0.5
        .. versionchanged:: 0.11
           ``Environment.auto_reload`` set in accordance with
           ``TEMPLATES_AUTO_RELOAD`` configuration option.
        "
33,flask\flask\app.py,create_global_jinja_loader,"Creates the loader for the Jinja2 environment.  Can be used to
        override just the loader and keeping the rest unchanged.  It's
        discouraged to override this function.  Instead one should override
        the :meth:`jinja_loader` function instead.

        The global loader dispatches between the loaders of the application
        and the individual blueprints.

        .. versionadded:: 0.7
        "
34,flask\flask\app.py,select_jinja_autoescape,"Returns ``True`` if autoescaping should be active for the given
        template name. If no template name is given, returns `True`.

        .. versionadded:: 0.5
        "
35,flask\flask\app.py,update_template_context,"Update the template context with some commonly used variables.
        This injects request, session, config and g into the template
        context as well as everything template context processors want
        to inject.  Note that the as of Flask 0.6, the original values
        in the context will not be overridden if a context processor
        decides to return a value with the same key.

        :param context: the context as a dictionary that is updated in place
                        to add extra variables.
        "
36,flask\flask\app.py,make_shell_context,"Returns the shell context for an interactive shell for this
        application.  This runs all the registered shell context
        processors.

        .. versionadded:: 0.11
        "
